Product name,SKU,Slug,Category,Brand,Quantity,Minimum stock,First price,Second price,Third price,Purchase price (cost),Weight (kg),Barcode,Description,Status,Images
pt croissant,pt-croissant,pt-croissant,P dej,,130,0,5.5,0,0,3.5,0,,,Active,
pt dej chamali,pt-dej-chamali,pt-dej-chamali,P dej,,1,0,0,0,0,45,0,,,Active,
pt pain complet,pain-complet,pain-complet,P dej,,475,0,1.5,0,0,2,0,,,Active,
pt pain suisse,pt-pain-suisse,pt-pain-suisse,P dej,,104,0,5.5,0,0,4,0,,,Active,
pt petit  pain choco,petit -pain-choco,petit-pain-choco,P dej,,120,0,5.5,0,0,5.5,0,,,Active,
pt schneik,pt-schneik,pt-schneik,P dej,,104,0,5,0,0,4,0,,,Active,
rafiaa,172,khmira-rafi3a,product,,29,0,8.5,0,0,8.5,0,6111246250013,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788281889/inventory-system/products/l51drb8ar1of096mrmii.jpg
raisin sec,96,raisin-sec,ferui sec,ABM,3.5,0,53,0,0,53,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789031061/inventory-system/products/wnt12qp1i8mf3duz9jzb.jpg
red bull,62,red-bull-355dh-pk,bar,ABM,51,0,335,0,0,335,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788941400/inventory-system/products/wkywblvvfnkdbfn9mfqo.png
riz basmati suzana,riz-basmati-suzana-5kg,riz-basmati-suzana-5kg,product,,10,0,120,0,0,155,0,,,Active,
sac carton,336,sack-emporter-marron,service,,326,0,1,0,0,1,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788613232/inventory-system/products/qbh99qjqtsfrihe99ce8.jpg
sac poubelle 120L,193,sac-poubelle-120l,product,,60,0,22,0,0,24.6,0,,,Active,
sac tissu pizza,339,sac-tissu-pizza,product,,83,0,4,0,0,4,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789122263/inventory-system/products/yfn8z6qp3uwlyzplnx0g.webp
sacarina,sacarina,sacarina,bar,,3,0,0,0,0,25.9,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788617127/inventory-system/products/evmpui0xy3xnskozyzhl.jpg
salade roquette,salade-roquette,salade-roquette,product,,192,0,18,0,0,18,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789468063/inventory-system/products/wgmjqmtmbgbn3d8znklj.webp
salmon,112,saumon-frais,product,,17.7,0,130,0,0,130,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788536550/inventory-system/products/pyvrqb0n8acflfoc6s3h.jpg
salmon fume,113,saumon-fume,product,,8.4,0,260,0,0,270,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788362435/inventory-system/products/rwebuzbortd3lthihxzo.jpg
sanicroix 5L,SAVON SOL DOUSSY 5L,sanicroix,nettoyage,ABM,24,0,25,0,0,22,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788509208/inventory-system/products/hitnekx1ordthcfpacih.jpg
sauce chilli sweet 700 ml,SAUCE CHILLI SWEET 700ML,sweet-chili-sauce,product,,47,0,32,0,0,32,0,4070308154909,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788421645/inventory-system/products/dcp5qasp9lktfoxp3oz3.jpg
sauce soja,68,sauce-soja,souce,ABM,0,0,180,0,0,180,0,,,Active,
sauce soja 5l,soja,soja,product,,2,0,0,0,0,0,0,,,Active,
savon a main,192,savon-a-main,nettoyage,,22,0,75,0,0,75,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789031204/inventory-system/products/msgspoavy3z3svc0gesn.png
sirop caramel 700ml,104,sirop-caramel-akka,bar,,0,0,100,0,0,100,0,8691123474261,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788781351/inventory-system/products/sayq1ylt6h9abtqarjoq.png
soucet,soucet,soucet,product,,20.7,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788361561/inventory-system/products/lo47q2buo5iiaega6yxk.jpg
soy Sauce,Saucesoy,saucesoy,souce,,13,0,0,0,0,280,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788190086/inventory-system/products/ozlnjewgfdwkz9somfhy.jpg
spring roll pastry,spring roll pastry,spring-roll-pastry,product,,10,0,46.5,0,0,46.5,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788520403/inventory-system/products/n8kk22abqmxvzjhhnohw.webp
sweet chili sauce 1.8l,SAUCE CHILI 1.8L,chilli-sauce,pattes,ABM,6,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788790806/inventory-system/products/ajvpsdzbslqib4jknfhl.jpg
thin pizza kenz 10kg,169,kenz-pizza,pizza,,-6,0,70,0,0,70,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788780239/inventory-system/products/gihkyxwob0eawkdqzrj7.jpg
